Plot,Animals,Farmlet,Location,quadrat,PerennialRyegrass,CreepingBent,YorkshireFog,DandelionAgg,Broad-leavesDock,WhiteClover,CreepingButtercup,CreepingThistle,Mouse-earChickweed,CommonNettle,Cuckooflower,CruelThistle,SoftRushes,BareGround
Dairy North,Sheep,Green,Edge,E1,,,1,,,,,,,,,,,
Dairy North,Sheep,Green,Edge,E2,,0.06,0.9,,,,,,,,0.04,,,
Dairy North,Sheep,Green,Edge,E3,0.1,,0.4,,,,,,,,,0.5,,
Dairy North,Sheep,Green,Edge,E4,0.3,0.2,0.1,,,,,,,,,0.4,,
Dairy North,Sheep,Green,Edge,E5,0.2,,0.8,,,,,,,,,,,
Dairy North,Sheep,Green,Inner,M1,0.35,0.1,0.15,,,,,,,0.4,,,,
Dairy North,Sheep,Green,Inner,M2,0.1,0.15,0.75,,,,,,,,,,,
Dairy North,Sheep,Green,Inner,M3,,0.2,0.8,,,,,,,,,,,
Dairy North,Sheep,Green,Inner,M4,0.25,0.05,0.4,,,,,,,0.3,,,,
Dairy North,Sheep,Green,Inner,M5,0.15,0.05,0.8,,,,,,,,,,,
Dairy Corner,Sheep,Blue,Edge,E1,0.4,,0.6,,,,,,,,,,,
Dairy Corner,Sheep,Blue,Edge,E2,0.2,0.6,0.2,,,,,,,,,,,
Dairy Corner,Sheep,Blue,Edge,E3,0.2,0.6,0.15,,,,,,,,0.05,,,
Dairy Corner,Sheep,Blue,Edge,E4,0.1,0.35,0.5,,,,0.05,,,,,,,
Dairy Corner,Sheep,Blue,Edge,E5,0.2,0.3,0.5,,,,,,,,,,,
Dairy Corner,Sheep,Blue,Inner,M1,0.1,0.7,0.2,,,,,,,,,,,
Dairy Corner,Sheep,Blue,Inner,M2,0.25,0.7,,,0.05,,,,,,,,,
Dairy Corner,Sheep,Blue,Inner,M3,0.1,0.5,0.35,,,,0.05,,,,,,,
Dairy Corner,Sheep,Blue,Inner,M4,0.5,0.25,0.2,,,,0.05,,,,,,,
Dairy Corner,Sheep,Blue,Inner,M5,0.15,0.6,0.25,,,,,,,,,,,
